relative_path,parent_directory,name,suffix,size_bytes,sha256,is_text,detected_encoding,printable_ratio,line_count,categories,uft_markers,object_reference_markers,parameter_markers,control_flow_markers,function_or_sub_markers,error
ProjRep/000/000/000/001/686,ProjRep/000/000/000/001,686,,1260,929e0a33efa057a7a5b015575e7ca3016a0e5ee732df365b4842f02712462f4a,True,utf-16,1.0000,21,text; contains_function_or_sub,,,,,Function ; End Function,
ProjRep/000/000/000/001/687,ProjRep/000/000/000/001,687,,197,dea5c76d90300ee85661ab99d2404b8f72a9986f6e86807d41a4df9b121a34ba,True,utf-8-sig,1.0000,4,text; xml_candidate,,,,,,
ProjRep/000/000/000/001/688,ProjRep/000/000/000/001,688,,1724,d6b306c774068094e9adb0be0f0714381bfc6218b4a7bd9da3e2fa160cac7de1,True,utf-8-sig,1.0000,80,text,,,,,,
ProjRep/000/000/000/001/689,ProjRep/000/000/000/001,689,,1366,f2bfe0b77312e15e1ef37fb536ddf32c3d36f58a86c73ce38d1306881789586b,True,utf-8-sig,1.0000,64,text,,,,,,
ProjRep/000/000/000/001/690,ProjRep/000/000/000/001,690,,1110,c13f8f4e4abe19d55a1062da5b25f7a93d6a9aa9d2c90ddc8681ec3f5c24e5ff,True,utf-8-sig,1.0000,39,text,,,,,,
ProjRep/000/000/000/001/691,ProjRep/000/000/000/001,691,,10624,98c02da9a2d7d4aa50f81fbc9ecb02e63a6c2e10301c6f77db03a7e1bbfcdeb1,False,,,,binary,,,,,,
ProjRep/000/000/000/001/692,ProjRep/000/000/000/001,692,,2707,d79640c74cecd3753a4f8a1afa071711abc58dc14121ba9620da35fad9f43d58,True,utf-8-sig,1.0000,114,text; contains_control_flow,,,,For ,,
ProjRep/000/000/000/001/693,ProjRep/000/000/000/001,693,,10313,2c1b9fb3d1c1bbdf1e0af3619a5982067a2cac4f606e5e01b7168bf1893fa762,False,,,,binary,,,,,,
ProjRep/000/000/000/001/694,ProjRep/000/000/000/001,694,,11938,7451c57d4068404ebcdf67bcd64ccbedd4e2e22fa98a4ab79c69c0ae49cc883c,True,utf-8-sig,1.0000,404,text; contains_control_flow,,,,Then,,
ProjRep/000/000/000/001/695,ProjRep/000/000/000/001,695,,3653632,9813baa7a0373a74747f16b53e257dade9a4d1cd7ff7f0a460d5b2e6d8e5b1b8,False,,,,binary,,,,,,
